INFO  2022-02-15 10:09:09,001 [DefaultQuartzScheduler_Worker-1] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:09,003 [DefaultQuartzScheduler_Worker-1] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:12,000 [DefaultQuartzScheduler_Worker-2] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:12,002 [DefaultQuartzScheduler_Worker-2] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:15,108 [DefaultQuartzScheduler_Worker-3] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:15,114 [DefaultQuartzScheduler_Worker-3] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
DEBUG 2022-02-15 10:09:16,317 [25] WebAPI.Models.Organization getOrganization - Getting all organizations. {"SessionID":"8e5c1578-94b3-4b39-8bd0-c9d95d5b5d33","Params":{"OrganizationID":"null","KeyStroke":"null"},"RequestedUser":"admin","Result":""}
DEBUG 2022-02-15 10:09:16,928 [25] WebAPI.Models.Organization getOrganization - Retreived Organization List {"SessionID":"8e5c1578-94b3-4b39-8bd0-c9d95d5b5d33","Params":{"OrganizationID":"null","KeyStroke":"null"},"RequestedUser":"admin","Result":[{"Operation":0,"OrganizationID":75,"OrganizationName":"Birdi Systems Inc.","ShapeType":"","OrganizationAddress":"723 E. Green Street, Pasadena, CA","GeocodedLocation":"","RGBValue":"","LatLong":"34.144975224064495,-118.13570469617844 34.14497836340614,-118.13549816608429 34.14462675641512,-118.13550218939781 34.144623617060404,-118.1356979906559","Note":"From Solutions to Service.","CreatedDate":"0001-01-01T00:00:00","UpdatedDate":"2019-12-11T19:47:39","CreatedBy":null,"UpdatedBy":"admin"},{"Operation":0,"OrganizationID":79,"OrganizationName":"New Organization","ShapeType":"","OrganizationAddress":"","GeocodedLocation":"","RGBValue":"","LatLong":"","Note":"","CreatedDate":"2020-09-27T12:10:42","UpdatedDate":"2021-02-24T06:32:59","CreatedBy":"admin","UpdatedBy":"admin"},{"Operation":0,"OrganizationID":81,"OrganizationName":"Test Org","ShapeType":"","OrganizationAddress":"1234 main street, La La Land","GeocodedLocation":"","RGBValue":"","LatLong":"","Note":"Testing Feb 2021","CreatedDate":"2021-02-23T23:38:34","UpdatedDate":"2021-02-23T23:38:48","CreatedBy":"admin","UpdatedBy":"admin"},{"Operation":0,"OrganizationID":82,"OrganizationName":"Test","ShapeType":"","OrganizationAddress":"Test","GeocodedLocation":"","RGBValue":"","LatLong":"","Note":"Test","CreatedDate":"2021-11-22T06:44:57","UpdatedDate":"2021-11-22T06:44:57","CreatedBy":"admin","UpdatedBy":"admin"}]}
DEBUG 2022-02-15 10:09:17,134 [9] WebAPI.Models.Organization getOrganization - Getting organization details for OrganizationID {"SessionID":"c03a5486-f261-4907-a9f6-b7980079b93b","Params":{"OrganizationID":"75","KeyStroke":null},"RequestedUser":"admin","Result":""}
DEBUG 2022-02-15 10:09:17,163 [9] WebAPI.Models.Organization getOrganization - Retreived Organization List {"SessionID":"c03a5486-f261-4907-a9f6-b7980079b93b","Params":{"OrganizationID":"75","KeyStroke":null},"RequestedUser":"admin","Result":[{"Operation":0,"OrganizationID":75,"OrganizationName":"Birdi Systems Inc.","ShapeType":"","OrganizationAddress":"723 E. Green Street, Pasadena, CA","GeocodedLocation":"","RGBValue":"","LatLong":"34.144975224064495,-118.13570469617844 34.14497836340614,-118.13549816608429 34.14462675641512,-118.13550218939781 34.144623617060404,-118.1356979906559","Note":"From Solutions to Service.","CreatedDate":"0001-01-01T00:00:00","UpdatedDate":"2019-12-11T19:47:39","CreatedBy":null,"UpdatedBy":"admin"}]}
INFO  2022-02-15 10:09:18,027 [DefaultQuartzScheduler_Worker-4] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:18,030 [DefaultQuartzScheduler_Worker-4] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:21,015 [DefaultQuartzScheduler_Worker-5] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:21,018 [DefaultQuartzScheduler_Worker-5] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
DEBUG 2022-02-15 10:09:21,664 [9] WebAPI.Controllers.RequestWBSController Get - Time Elapsed for retrieving mindmap - 4447
INFO  2022-02-15 10:09:24,007 [DefaultQuartzScheduler_Worker-6] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:24,007 [DefaultQuartzScheduler_Worker-6] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:27,013 [DefaultQuartzScheduler_Worker-7] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:27,015 [DefaultQuartzScheduler_Worker-7] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:30,014 [DefaultQuartzScheduler_Worker-8] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:30,017 [DefaultQuartzScheduler_Worker-8] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:33,011 [DefaultQuartzScheduler_Worker-9] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:33,013 [DefaultQuartzScheduler_Worker-9] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:36,012 [DefaultQuartzScheduler_Worker-10] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:36,047 [DefaultQuartzScheduler_Worker-10] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:39,013 [DefaultQuartzScheduler_Worker-1] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:39,015 [DefaultQuartzScheduler_Worker-1] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:42,003 [DefaultQuartzScheduler_Worker-2] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:42,003 [DefaultQuartzScheduler_Worker-2] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:45,009 [DefaultQuartzScheduler_Worker-3] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:45,012 [DefaultQuartzScheduler_Worker-3] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:48,011 [DefaultQuartzScheduler_Worker-4] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:48,013 [DefaultQuartzScheduler_Worker-4] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:51,002 [DefaultQuartzScheduler_Worker-5] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:51,002 [DefaultQuartzScheduler_Worker-5] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:54,009 [DefaultQuartzScheduler_Worker-6] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:54,011 [DefaultQuartzScheduler_Worker-6] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:09:57,009 [DefaultQuartzScheduler_Worker-7] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:09:57,014 [DefaultQuartzScheduler_Worker-7] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:00,000 [DefaultQuartzScheduler_Worker-8] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:00,004 [DefaultQuartzScheduler_Worker-8] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:03,003 [DefaultQuartzScheduler_Worker-9] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:03,003 [DefaultQuartzScheduler_Worker-9] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:06,005 [DefaultQuartzScheduler_Worker-10] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:06,005 [DefaultQuartzScheduler_Worker-10] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:09,005 [DefaultQuartzScheduler_Worker-1] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:09,005 [DefaultQuartzScheduler_Worker-1] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:12,009 [DefaultQuartzScheduler_Worker-2] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:12,009 [DefaultQuartzScheduler_Worker-2] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:15,000 [DefaultQuartzScheduler_Worker-3] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:15,003 [DefaultQuartzScheduler_Worker-3] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
INFO  2022-02-15 10:10:18,009 [DefaultQuartzScheduler_Worker-4] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:18,013 [DefaultQuartzScheduler_Worker-4] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
DEBUG 2022-02-15 10:10:20,868 [8] WebAPI.Controllers.RequestCostController Get - Getting costs elapsed time 153
INFO  2022-02-15 10:10:21,001 [DefaultQuartzScheduler_Worker-5] WebAPI.Models.MppNoRespondKillerJob Execute - before attempt process kill - killer job
INFO  2022-02-15 10:10:21,003 [DefaultQuartzScheduler_Worker-5] WebAPI.Models.MppNoRespondKillerJob Execute - after attempt process kill - killer job
DEBUG 2022-02-15 10:10:21,316 [8] WebAPI.Controllers.RequestCostController Get - Getting costs elapsed time 26
